제목,저자,출판사,출간일,정가,설명,리뷰점수,리뷰개수
예약판매카구라바치 4: 대등,Takeru Hokazono,대원씨아이,2025.04.30,6500,,10,1
결국 국민이 합니다,이재명,오마이북,2025.04.15,22000,"《결국 국민이 합니다》는 2024년 12월 3일 ‘내란의 밤’부터 윤석열 대통령 탄핵소추안 가결, 2025년 4월 4일 헌재의 파면 선고까지 숨가빴던 순간들의 ‘막전막후’를 이재명의 시선으로 들여다본다. 비상계엄이 선포되고 국회로 달려가면서 유튜브 라이브 방송을 하게 된 이유, 국회 담을 넘고 본회의장으로 진입하기까지 숨 막혔던 순간들, 비상계엄 해제안 가결, 미국의 오판을 막기 위한 물밑 접촉, 국회 탄핵소추안 가결 후 ‘응원봉 집회’에서 흘린 이재명의 눈물까지 생생한 현장의 숨결을 느낄 수 있다.
2024년 1월 예상치 못한 피습으로 목숨을 잃을 뻔했으나 기적의 확률로 살아난 이야기, ‘소년공’ 출신 이재명의 인생항로와 정치 역정, 당대표직에 대한 소회, ‘정치란 무엇인가’라는 근본적인 물음까지 솔직담백하게 털어놓는다.
“정치는 정치인이 하는 것 같아도 결국 국민이 하는 것입니다.” 이 말은 이재명이 늘 가슴에 새기고 다니는 경구이자 다짐이다. 과거를 후회하지 말고 미래에 집중해야 한다는 이재명에게 지금 대한민국의 위기는 기회이기도 하다. 그가 설계하고 있는 대한민국의 ‘회복과 성장’ 프로젝트, ‘대화와 포용’의 정치는 과연 어떤 것일까. 《결국 국민이 합니다》를 통해 그 이야기를 자세히 들려준다.",9.62,227
예약판매카구라바치 4: 쿠레구모(특별판),Takeru Hokazono,대원씨아이,2025.04.30,39500,,0,
예약판매흔한남매 과학 탐험대 14: 화학 반응,흔한남매,주니어김영사,2025.04.21,16800,"냐하~! 요절복통 장난꾸러기 흔한남매와 함께하는 과학 첫걸음.
《흔한남매 과학 탐험대》 시리즈는 과학을 처음 접하는 아이들이 과학의 주요 내용을 미리 맛볼 수 있는 초등 과학 입문서이다. 흔한남매가 최고의 과학 전문가들과 함께 우주, 지구와 달, 우리 몸 등을 여행하며 쉽고 재미있게 과학 지식을 배운다. 초등학교 과학 교과서의 내용을 모두 담았고, 생활 과학 정보, 과학 관련 최근 이슈, 우리나라 관련 정보들을 더했다. 흔한남매와 함께라면 학교에서 처음 배우는 과학이 두렵지 않다!

G그룹의 유전자 조작 실험으로 만들어진 살아서 움직이는 인삼이 우주 불가사의 연구소에 합류했어. 인삼이 움직이는 것도 신기한데 요리에 엄청난 재능까지 갖고 있었지 뭐야? 그런데 마침 마을에 요리 대회가 열린다고 해. 요리에 숨겨진 과학 원리를 알면 더 맛있는 요리를 만들 수 있지! 요리에 진심인 인삼과 과학에 진심인 연구소 사람들이 함께 힘을 모아 대회를 준비하는데 아무래도 대회가 수상쩍어. 인삼과 함께 수상한 요리 대회를 평정해 보자!",0,
단 한 번의 삶,김영하,복복서가,2025.04.06,16800,"『여행의 이유』 이후 6년 만의 신작 산문
-오직 한 번만 쓸 수 있는, 나의 삶에 대하여

김영하가 신작 산문 『단 한 번의 삶』을 출간했다. 60만 명이 넘는 독자의 사랑을 받은 『여행의 이유』 이후 6년 만에 선보이는 산문집으로, 유료 이메일 구독 서비스 ‘영하의 날씨’에 2024년 연재되었던 글을 대폭 수정하고 다듬어 묶었다. ‘영하의 날씨’는 초기 구독자의 초대로만 가입이 가능한 서비스로 화제를 모으며 연재 당시 뜨거운 호응을 얻었다.
『단 한 번의 삶』은 작가의 지난 산문들보다 더 사적이고 한층 내밀하다. 김영하는 ‘작가 김영하’에서 벗어나, 한 번뿐인 삶을 살아가는 우리 가운데 한 사람으로서 가만히 말을 건넨다. 열네 편의 이야기에 담긴 진솔한 가족사와 직접 경험한 인생의 순간을 아우르는 깊은 사유는 우리를 멈춰 생각하게 한다. 우리는 얼마나 서로를, 그리고 자신을 모르고 살아가는가. 생각은 하나의 질문으로 수렴된다. 내 앞에 놓인 삶을 어떻게 살아가야 할까. 이 책은 독자들에게 쉬운 위로나 뻔한 조언을 건네지 않는다. 대신 담담히 풀어낸 솔직한 경험과 고민을 통해 독자들이 자신의 삶을 되돌아보게 만든다. 『단 한 번의 삶』과 함께, 두고 온 시절에서 발견한 자기 삶의 장면들을 기록해보길 권한다. 
“원래 나는 ‘인생 사용법’이라는 호기로운 제목으로 원고를 쓰기 시작했다. 
하지만 곧 내가 인생에 대해서 자신 있게 할 말이 별로 없다는 것을 깨달았다. 
내가 알고 있는 것은 그저 내게 ‘단 한 번의 삶’이 주어졌다는 것뿐.”",9.82,92
흔한남매 19,흔한남매,미래엔아이세움,2025.04.18,15800,"태권도를 배우는 으뜸이와 에이미, 흔식이와의 첫 만남, 씁아저씨 집에 놀러 간 흔한남매, 소파에서 오래 버티기 대결, 흔한 일상 속 공감 포인트, 공포의 학교 안내 방송, 엄마와 우리의 흔한 차이점 등 활기찬 흔한남매의 일상을 통해 스트레스를 날려 보아요!

유튜브 291만 구독 돌파! 인기 크리에이터 흔한남매
‘흔한남매’는 유튜브 구독자 수가 291만 명, 누적 조회 수가 38억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있습니다. 상황극콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다.

“흔한남매를 읽고 까르르 웃을 때가 제일 행복한 시간이래요.” 
‘유쾌한 우애’와 ‘순수한 웃음’, ‘따뜻한 공감’으로 
어린이들의 마음을 사로잡은 No.1 베스트셀러!
《흔한남매》 시리즈는 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어 낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 유쾌한 우애와 순수한 웃음을 선사할 것입니다.",9.81,13
예약판매봇치ㆍ더ㆍ록! 앤솔러지 코믹 3(특별판),하마지 아키,대원씨아이,2025.04.30,24000,,0,
줬으면 그만이지(반양장),김주완,피플파워,2023.01.01,20000,"취재 과정에서 가장 많이 받은 질문은 “어떻게 김장하 선생의 허락을 받았느냐”는 말이었다. 하지만 선생은 허락한 적이 없다. 선생은 그동안 형평운동기념사업회를 비롯한 여러 공적인 단체에 몸을 담고 공적인 활동을 해왔다. 따라서 선생은 공인(公人)에 준(準)하는 인물
을 취재하겠다는데, 그것까지 못하게 막을 권리는 없다고 생각한 것 같다.
인터뷰도 한 적이 없다. 찾아오는 사람을 냉정하게 내치지 못하는 선생의 약점(?)을 공략했을 뿐이다. 그리고 많은 분이 자연스럽게 선생과 함께할 수 있는 자리를 만들어주셨다. 그분들께도 깊이 감사드린다.
2021년 11월 엠비씨경남 김현지 피디로부터 함께 취재하자는 제안을 받았고, 덕분에 내가 아예 접근하지 못했거나 놓쳤을 것들을 얻어 건진 것도 많았다. 특히 김현지 피디와 강호진 촬영감독, 차선영 작가의 기획력과 섭외력, 취재현장의 순발력에 덕본 게 많다.
‘100명의 김장하, 1000명의 김장하’를 취재 과정에서 많이 만날 수 있었던 것도 기쁨이었다. 하남칠 교장은 ‘장학금 돌려주기’ 차원에서 모교 학생들에게 오랜 세월 매년 장학금을 주고 있었고, 본문에 등장하진 않지만 명신고 출신 건축가 박범주(1970~) 씨도 문화예술계에 든든한 후원자로 김장하를 닮아가고 있다는 이야기를 들었다. 이 책에 등장한 사람들은 말할 것도 없고 등장하지 않은 사람들 중에도 이미 ‘김장하 바이러스’에 감염된 사람이 많았다. 이런 선순환이 돌고 돌아 김장하 선생이 꿈꾸는 모두가 잘 사는 세상이 반드시 오리라 믿는다.
취재 과정에서 김현지 피디는 만나는 사람마다 “김장하 선생을 한 마디로 표현하자면?”이라는 질문을 던졌다. ‘생불’ ‘보살’ ‘의인’ ‘진정한 어른’ ‘이 시대의 예수’ ‘든든한 뒷배’ ‘시민운동의 비빌 언덕’ ‘호의(好義)와 경의(敬義)의 표본’ ‘남명 조식 선생 같은 분’ ‘모든 것을 품어주는 호수’ 등 다양한 표현이 나왔다.
그런데 내가 가장 공감했던 표현은 ‘이 시대의 강상호 선생’이었다. 극단현장 고능석 대표가 한 말이었다. 대중적으로 강상호라는 이름을 아는 사람이 많지 않아 방송용으로는 별로였겠지만, 호의호식할 수 있는 부자임에도 자신의 재산을 털어 세상의 가장 천대받는 사람들 편에서 평등과 정의를 실현하기 위해 앞장섰다는 점에서 가장 닮은 두 사람이었다.
----작가의 ‘닫는 말’ 중에서",9.95,70
대통령 윤석열 탄핵 사건 선고 결정문,헌법재판소,더휴먼,2025.04.04,3900,"도서출판 더휴먼은 앞서 헌법 전문을 실은 〈대한민국헌법〉을 출간하였으며, 헌법이 유린되고 민주주의 가치가 훼손되는 사건들 속에서 많은 독자의 관심을 받았다. 이에 헌법재판소의 대통령 탄핵 결정에 맞춰 ‘대통령 윤석열 탄핵 사건 선고 결정문’ 전문을 기존의 〈대한민국헌법〉과 함께 묶어 〈대통령 윤석열 탄핵 사건 선고 결정문〉이라는 하나의 책으로 만들었다.",6.8,94
예약판매도쿄 에일리언즈 10,NAOE,서울미디어코믹스(서울문화사),2025.04.30,6000,"우주인에 의한 지구인 납치, 유괴 사건에 휘말려서 
붙잡혀버린 군지를 구출하기 위해 
AMO는 총력을 기울여 인신매매 조직을 밝혀냈다.
텐쿠바시는 만신창이가 되면서도 
군지가 있는 곳으로 접근해 간다. 
그러나 해럴드의 가혹한 실험적 어프로치에 의해 
군지의 육체는 한계를 맞이하려 하고 있었다…. 
텐쿠바시의 포효가 울려퍼지는, 
세상을 뒤흔들 에일리언 코믹 제10권!!

도쿄를 무대로 펼쳐지는 
지구인 × 우주인의 교류를 그린 
스페이스 액션!!",10,1
