순위,제목,상세링크,저자,출판사,출판일,가격
1,줄리정불법아이엘츠VOCA Day 1-4 (영어+한국어),https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000000007296,줄리정,써니썬데이(Sunny Sunday),2020.07.30,"3,510"
2,모순,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000008143806,양귀자,쓰다,2013.04.01,"7,200"
3,초고령사회 일본이 사는 법,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011274542,김웅철,매일경제신문사,2025.04.11 (종이책 출간 2025.04.03),"16,200"
4,술꾼들의 모국어,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011226405,권여선,한겨레출판사,2025.03.28 (종이책 출간 2024.09.15),"16,200"
5,행동하지 않으면 인생은 바뀌지 않는다,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010916248,브라이언 트레이시,현대지성,2025.01.15 (종이책 출간 2024.11.19),"26,910"
6,거꾸로 읽는 세계사,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010891124,유시민,돌베개,2021.11.19 (종이책 출간 2021.10.29),"15,750"
7,가난한 아이들은 어떻게 어른이 되는가,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010070979,강지나,돌베개,2024.11.22 (종이책 출간 2023.11.06),"15,750"
8,이토록 매혹적인 아랍이라니,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010026392,손원호,부키,2022.11.18 (종이책 출간 2021.08.05),"16,200"
9,선을 넘는 한국인 선을 긋는 일본인,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000009467475,한민,부키,2022.01.25 (종이책 출간 2022.01.20),"16,200"
10,셜록 홈즈 주홍색 연구,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000009130491,아서 코난 도일,해성전자북,2023.08.22,"5,400"
11,토저의 사도신경 읽기,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000005491824,A. W. 토저,두란노,2023.09.15,"12,600"
12,연남동 빙굴빙굴 빨래방,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000005463789,김지윤,팩토리나인,2023.11.07 (종이책 출간 2023.08.18),"15,120"
13,별나게 다정한 천문학,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000005039600,이정환,행성비,2022.11.17,"12,600"
14,동요가 있는 교육동화 - 달달구리 달팽이 가족,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000005001204,박고은,이프로엔터테인먼트,2022.10.12,"5,400"
15,존리의 부자되기 습관 - 윌라 오디오북 시리즈,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000000013692,존 리,지식노마드,2022.06.24 (종이책 출간 2020.01.15),"13,500"
16,천로역정,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000000013204,존 번연,두란노,2022.04.20 (종이책 출간 2019.04.17),"13,500"
17,유리멘탈을 위한 심리책,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000000011600,미즈시마 히로코,갤리온,2021.04.06 (종이책 출간 2021.04.05),"12,600"
18,단추 마녀와 쓰레기 괴물,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000000010851,정란희 글,키다리,2021.03.12 (종이책 출간 2019.03.25),"6,300"
19,희박한 환각,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000000009827,이산화,아작,2020.10.28 (종이책 출간 2020.09.20),"3,600"
20,하루 10분 명문낭독 영어 스피킹 100 오디오북 레벨 1,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000000006530,박주영,로그인,2020.06.24 (종이책 출간 2020.02.15),"3,600"
