순위,제목,상세링크,저자,출판사,출판일,가격
1,2025 해커스 GSAT 삼성직무적성검사 실전모의고사 10회분,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010869304,해커스 GSAT 취업교육연구소,해커스잡,2025.01.07 (종이책 출간 2025.01.07),"17,820"
2,대통령 윤석열 탄핵 사건 선고 결정문,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011285999,헌법재판소,더휴먼,2025.04.07 (종이책 출간 2025.04.10),500
3,듀얼 브레인,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011176922,이선 몰릭,상상스퀘어,2025.03.12 (종이책 출간 2025.03.19),"13,230"
4,나답게 살고 싶어서 뇌과학을 읽습니다,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011224196,이케가야 유지,포레스트북스,2025.03.26 (종이책 출간 2025.03.26),"11,790"
5,2025 최신판 에듀윌 취업 SKCT SK그룹 종합역량검사 통합 기본서,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010990274,에듀윌 취업연구소,에듀윌,2025.01.28 (종이책 출간 2025.01.23),"21,060"
6,해외선물 처음공부,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011318924,김직선,이레미디어,2025.04.18 (종이책 출간 2025.04.18),"15,750"
7,2025 제16회 젊은작가상 수상작품집,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011269545,백온유,문학동네,2025.04.02 (종이책 출간 2025.04.02),"4,860"
8,2025 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010846238,해커스 GSAT 취업교육연구소,해커스잡,2025.01.02 (종이책 출간 2025.01.02),"19,440"
9,2025 해커스 GSAT 삼성직무적성검사 빠르게 끝내는 봉투모의고사 3회분,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011019240,해커스 GSAT 취업교육연구소,해커스잡,2025.02.07 (종이책 출간 2025.01.31),"12,960"
10,일할 사람이 사라진다,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000007739401,이철희,위즈덤하우스,2024.05.30 (종이책 출간 2024.05.22),"12,600"
11,소년이 온다,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000003088557,한강,창비,2014.05.19 (종이책 출간 2014.05.19),"10,800"
12,2025 렛유인 GSAT 삼성직무적성검사 FINAL 봉투모의고사,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011111055,정지성,렛유인에듀,2025.03.05,"15,730"
13,2025 해커스 SKCT SK그룹 종합역량검사 통합 기본서 최신기출유형+실전모의고사,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010898504,해커스 SKCT 취업교육연구소,해커스잡,2025.01.13 (종이책 출간 2025.01.13),"21,150"
14,어른의 행복은 조용하다,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000009628138,태수,페이지2북스,2024.11.11 (종이책 출간 2024.11.04),"11,250"
15,내가 원하는 것을 나도 모를 때,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011015648,전승환,북로망스,2025.01.15 (종이책 출간 2025.01.15),"15,840"
16,김재우의 기초 영어회화 100,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010473874,김재우,상상스퀘어,2024.12.04 (종이책 출간 2024.12.04),"11,910"
17,경제신문이 말하지 않는 경제 이야기,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000006739999,임주영,민들레북,2024.02.28,"11,970"
18,마음의 기술,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000010339763,안-엘렌 클레르,상상스퀘어,2024.11.27 (종이책 출간 2024.11.18),"13,230"
19,초역 부처의 말,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000007920592,코이케 류노스케,포레스트북스,2024.06.03 (종이책 출간 2024.05.30),"11,220"
20,가속화 장기투자 법칙,https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000011236109,임인홍(오일전문가) 저자,길벗,2025.03.26 (종이책 출간 2025.03.25),"15,840"
